"ArticleId","ArticleName"
170295,"BERLINKI 250G"
172551,"BOŽKOV SPE.KÁVOVÝ 30%0,5L"
172671,"GNOCCHI 40% 500G SPINACI"
167108,"GRANINI NEKT.1l HRUŠKA 50%"
176139,"HRANOLKY "B" 1KG"
170069,"JACOBS PORCE CAF.LATTÉ 250G"
174022,"JÄGERMEISTER 35%  0,7L"
165811,"JČ SMETANA KE ŠL.33% 250ML"
165954,"LIPÁNEK UHT MLÉKO 250ML KAK"
169281,"MAGGI ASIA 118G INDIE SMAŽ.NUD"
199219,"NORDIC ICE VODKA37,5%0,5L"
171979,"POMAZÁNKA 120G VAJÍČKOVÁ"
194516,"POMAZÁNKA CAMEMBERTOVÁ 3X120G"
200838,"PRAŽSKÁ VODKA 37,5%0,5L"
170936,"ŠPENÁTOVÝ PROTLAK 400G"
