"ArticleId","SiteId","ZoneId","Date","Quantity","Price","CostPrice"
170936,4,1,2019-05-09,7.00,39.00,30.15
171979,7,2,2019-01-18,4.00,43.50,28.11
200838,5,1,2019-05-16,10.00,95.00,159.49
176139,7,2,2018-12-21,5.00,199.00,147.97
172551,5,1,2019-04-11,1.00,86.70,80.76
167108,8,2,2019-04-10,1.00,26.90,18.62
174022,8,2,2018-11-08,4.00,249.00,191.90
194516,5,1,2018-11-03,2.00,45.60,27.19
176139,4,1,2019-02-17,-1.00,199.00,142.00
170295,8,2,2019-03-30,4.00,36.75,15.78
199219,5,1,2019-07-20,8.00,89.00,78.77
170295,7,2,2019-06-03,7.00,26.00,16.14
172551,8,2,2019-03-04,4.00,145.35,81.21
170069,5,1,2019-01-04,1.00,59.90,45.38
167108,6,1,2019-01-10,7.00,27.90,18.57
176139,7,2,2019-01-17,4.00,199.00,142.00
169281,4,1,2019-01-20,1.00,21.90,16.09
176139,8,2,2019-04-09,1.00,197.00,142.00
170936,4,1,2019-01-11,15.00,39.00,28.05
170295,6,1,2018-10-14,7.00,24.50,16.12
194516,4,1,2019-07-15,3.00,43.80,27.44
165954,5,1,2018-09-05,1.00,11.30,7.06
170936,8,2,2018-11-27,19.00,39.00,30.06
169281,7,2,2019-01-09,18.00,21.90,16.10
200838,4,1,2018-09-20,2.00,104.00,84.87
170936,4,1,2018-12-09,1.00,39.00,30.08
174022,5,1,2019-02-15,-16.00,239.00,196.90
194516,8,2,2018-11-19,1.00,38.70,27.41
170069,8,2,2018-11-16,1.00,59.90,44.04
194516,6,1,2019-05-23,5.00,43.80,27.44
172671,6,1,2018-08-17,5.00,19.90,10.05
172551,7,2,2019-04-20,2.00,93.50,81.38
172551,6,1,2018-08-27,4.00,90.50,82.13
171979,7,2,2019-07-30,3.00,50.40,28.95
199219,4,1,2019-02-09,-6.00,89.00,78.02
172671,5,1,2019-07-25,1.00,19.90,11.06
176139,8,2,2018-09-29,8.00,214.00,152.67
170295,4,1,2019-02-12,-14.00,24.50,15.78
199219,6,1,2018-11-18,23.00,83.90,78.32
174022,4,1,2019-02-04,-4.00,259.00,194.49
170936,4,1,2018-09-06,12.00,39.00,30.06
167108,7,2,2019-05-11,4.00,26.90,18.62
172551,8,2,2018-11-09,10.00,93.90,82.42
194516,5,1,2018-12-10,4.00,46.90,27.71
170295,7,2,2018-11-23,1.00,24.50,16.05
172671,4,1,2019-07-11,1.00,19.90,10.98
174022,4,1,2018-12-11,5.00,229.00,189.51
200838,4,1,2018-10-30,9.00,95.00,85.53
170069,6,1,2018-11-24,13.00,59.90,44.11
165954,6,1,2019-07-02,8.00,8.70,5.83
170936,4,1,2019-05-16,7.00,39.00,56.38
200838,7,2,2019-02-24,1.00,95.00,81.29
165954,4,1,2019-01-08,4.00,8.70,5.87
194516,9,2,2018-11-26,11.00,40.64,27.73
167108,8,2,2019-01-18,3.00,27.90,18.57
169281,4,1,2018-12-22,3.00,21.90,15.42
174022,5,1,2019-07-09,2.00,239.00,201.02
199219,4,1,2018-07-28,22.00,87.90,77.85
170069,5,1,2018-07-18,2.00,62.90,44.93
167108,8,2,2019-04-15,1.00,26.90,18.62
170295,6,1,2018-08-18,11.00,29.90,18.88
194516,6,1,2018-10-23,7.00,34.50,27.19
172551,4,1,2018-08-18,13.00,98.90,80.74
170295,5,1,2018-08-14,6.00,29.90,18.88
176139,7,2,2018-07-20,5.00,194.24,150.99
176139,8,2,2019-04-16,3.00,197.00,142.00
165811,8,2,2019-07-27,10.00,21.90,15.77
172551,4,1,2019-01-13,9.00,90.50,82.51
167108,8,2,2019-01-03,7.00,27.90,18.57
194516,7,2,2019-07-26,2.00,43.80,27.44
200838,8,2,2019-02-28,6.00,95.00,81.70
165811,5,1,2018-09-01,10.00,20.90,15.72
170936,4,1,2018-08-18,2.00,39.00,30.05
200838,6,1,2018-08-16,14.00,94.90,85.26
165811,5,1,2018-11-07,4.00,21.90,15.37
174022,6,1,2019-02-25,5.00,266.00,191.07
200838,8,2,2019-02-23,18.00,95.00,81.70
165811,7,2,2019-05-30,10.00,21.90,15.84
174022,5,1,2019-01-28,1.00,259.00,187.06
174022,7,2,2019-03-30,2.00,372.40,194.21
172551,5,1,2018-10-24,12.00,90.50,82.42
199219,7,2,2019-03-09,15.00,124.60,76.42
167108,7,2,2018-07-24,6.00,24.90,18.52
199219,8,2,2018-08-31,12.00,87.90,77.08
171979,8,2,2019-02-12,-1.00,46.30,28.70
170295,7,2,2018-12-11,15.00,24.50,15.52
165811,8,2,2019-05-22,5.00,21.90,15.84
174022,4,1,2018-11-24,8.00,259.00,189.83
170936,5,1,2019-06-06,4.00,39.00,30.16
167108,5,1,2018-11-04,4.00,24.90,18.70
170936,4,1,2018-07-18,8.00,39.00,30.05
172551,7,2,2019-06-05,8.00,92.00,83.12
172671,8,2,2019-02-19,1.00,19.90,10.66
