ArticleId,SiteId,ZoneId,Date,Quantity,Price,CostPrice,ZoneName,SiteName,ArticleName
172551,8,2,2018-07-01,13,90.5,82.29,Supermarket,Plzeňská,"BOŽKOV SPE.KÁVOVÝ 30%0,5L"
172671,6,1,2018-07-01,2,19.9,10.97,Hypermarket,Vídeňská,GNOCCHI 40% 500G SPINACI
170069,6,1,2018-07-01,4,59.9,42.34,Hypermarket,Vídeňská,JACOBS PORCE CAF.LATTÉ 250G
176139,8,2,2018-07-01,10,197.0,142.0,Supermarket,Plzeňská,"HRANOLKY B"" 1KG"""
167108,7,2,2018-07-01,1,26.9,18.58,Supermarket,Pražská,GRANINI NEKT.1l HRUŠKA 50%
170936,5,1,2018-07-01,4,39.0,30.06,Hypermarket,Belgická,ŠPENÁTOVÝ PROTLAK 400G
199219,6,1,2018-07-01,28,89.0,78.02,Hypermarket,Vídeňská,"NORDIC ICE VODKA37,5%0,5L"
165811,7,2,2018-07-01,1,21.9,15.75,Supermarket,Pražská,JČ SMETANA KE ŠL.33% 250ML
170069,5,1,2018-07-01,1,59.9,42.34,Hypermarket,Belgická,JACOBS PORCE CAF.LATTÉ 250G
172551,4,1,2018-07-01,9,90.5,81.84,Hypermarket,Londýnská,"BOŽKOV SPE.KÁVOVÝ 30%0,5L"
172551,5,1,2018-07-01,23,90.5,81.84,Hypermarket,Belgická,"BOŽKOV SPE.KÁVOVÝ 30%0,5L"
170295,8,2,2018-07-01,1,24.5,15.78,Supermarket,Plzeňská,BERLINKI 250G
200838,8,2,2018-07-01,3,95.0,81.7,Supermarket,Plzeňská,"PRAŽSKÁ VODKA 37,5%0,5L"
176139,4,1,2018-07-01,4,214.0,142.0,Hypermarket,Londýnská,"HRANOLKY B"" 1KG"""
172551,6,1,2018-07-01,17,90.5,81.84,Hypermarket,Vídeňská,"BOŽKOV SPE.KÁVOVÝ 30%0,5L"
199219,7,2,2018-07-01,1,89.0,78.77,Supermarket,Pražská,"NORDIC ICE VODKA37,5%0,5L"
200838,5,1,2018-07-01,2,95.0,85.53,Hypermarket,Belgická,"PRAŽSKÁ VODKA 37,5%0,5L"
167108,6,1,2018-07-01,6,26.9,18.58,Hypermarket,Vídeňská,GRANINI NEKT.1l HRUŠKA 50%
174022,7,2,2018-07-01,15,239.0,191.9,Supermarket,Pražská,"JÄGERMEISTER 35%  0,7L"
165811,4,1,2018-07-01,4,21.9,15.75,Hypermarket,Londýnská,JČ SMETANA KE ŠL.33% 250ML
167108,4,1,2018-07-01,1,26.9,18.58,Hypermarket,Londýnská,GRANINI NEKT.1l HRUŠKA 50%
170936,4,1,2018-07-01,2,39.0,30.06,Hypermarket,Londýnská,ŠPENÁTOVÝ PROTLAK 400G
171979,4,1,2018-07-01,1,42.6,28.95,Hypermarket,Londýnská,POMAZÁNKA 120G VAJÍČKOVÁ
199219,5,1,2018-07-01,8,89.0,78.02,Hypermarket,Belgická,"NORDIC ICE VODKA37,5%0,5L"
200838,7,2,2018-07-01,2,95.0,81.7,Supermarket,Pražská,"PRAŽSKÁ VODKA 37,5%0,5L"
170069,4,1,2018-07-01,1,59.9,42.34,Hypermarket,Londýnská,JACOBS PORCE CAF.LATTÉ 250G
165811,6,1,2018-07-01,6,21.9,15.75,Hypermarket,Vídeňská,JČ SMETANA KE ŠL.33% 250ML
170936,6,1,2018-07-01,10,39.0,30.06,Hypermarket,Vídeňská,ŠPENÁTOVÝ PROTLAK 400G
170295,4,1,2018-07-01,2,24.5,15.78,Hypermarket,Londýnská,BERLINKI 250G
